"Dato","Arr/Dep","Rutenr.","STA/STD","A/C","Org./Des."
"9/19/2019","A","AC 882  ","8:40","77W","YYZ "
"9/19/2019","A","KL 1125 ","8:40","73H","AMS "
"9/19/2019","D","EJU4554 ","8:40","319","SXF "
"9/19/2019","D","FR 200  ","8:40","73H","CRL "
"9/19/2019","D","LH 2441 ","8:40","E95","MUC "
"9/19/2019","A","TO 4668 ","8:45","73H","NTE "
"9/19/2019","D","DX 074  ","8:45","AT7","KRP "
"9/19/2019","D","DY 4152 ","8:45","73H","ARN "
"9/19/2019","A","DY 932  ","8:50","73H","OSL "
"9/19/2019","A","HV 5961 ","8:50","73H","EIN "
"9/19/2019","A","JU 400  ","8:50","319","BEG "
"9/19/2019","A","LX 1266 ","8:50","320","ZRH "
"9/19/2019","A","SK 419  ","8:50","321","ARN "
"9/19/2019","A","XQ 570  ","8:50","73H","AYT "
"9/19/2019","D","D8 3666 ","8:50","73H","PMI "
"9/19/2019","A","AF 1750 ","8:55","319","CDG "
"9/19/2019","A","CAI487  ","8:55","73H","GZP "
"9/19/2019","A","EW 9190 ","8:55","319","DUS "
"9/19/2019","A","LH 824  ","9:00","32N","FRA "
"9/19/2019","A","SK 451  ","9:00","321","OSL "
"9/19/2019","D","AY 952  ","9:00","321","HEL "
"9/19/2019","D","SK 1418 ","9:00","73W","ARN "
"9/19/2019","A","OS 301  ","9:05","320","VIE "
"9/19/2019","A","SK 1206 ","9:05","CR9","AAL "
"9/19/2019","D","BT 132  ","9:05","733","RIX "
"9/19/2019","D","EJU5682 ","9:05","32A","TXL "
"9/19/2019","A","D8 2900 ","9:10","73H","LGW "
"9/19/2019","D","SK 1464 ","9:10","320","OSL "
"9/19/2019","A","DX 075  ","9:15","AT4","KRP "
"9/19/2019","A","EJU2653 ","9:15","319","MXP "
"9/19/2019","A","SK 1244 ","9:15","AT7","AAR "
"9/19/2019","A","SK 401  ","9:15","319","ARN "
"9/19/2019","D","OK 505  ","9:15","319","PRG "
"9/19/2019","D","SK 1207 ","9:15","32A","AAL "
"9/19/2019","D","TO 4669 ","9:15","73H","NTE "
"9/19/2019","A","DX 035  ","9:20","AT4","RNN "
"9/19/2019","D","DY 933  ","9:20","73H","OSL "
"9/19/2019","D","HV 5962 ","9:20","73H","EIN "
"9/19/2019","A","D8 3083 ","9:25","73H","AAL "
"9/19/2019","D","KL 1126 ","9:25","73H","AMS "
"9/19/2019","D","JU 401  ","9:35","319","BEG "
"9/19/2019","D","LX 1267 ","9:35","320","ZRH "
"9/19/2019","A","LO 463  ","9:40","E75","WAW "
"9/19/2019","D","AF 1751 ","9:40","319","CDG "
"9/19/2019","D","SK 1708 ","9:40","CR9","HEL "
"9/19/2019","D","SK 793  ","9:40","321","NCE "
"9/19/2019","D","XQ 571  ","9:40","73H","AYT "
"9/19/2019","A","SK 500  ","9:45","32A","LHR "
"9/19/2019","A","TK 1783 ","9:45","332","IST "
"9/19/2019","D","EJU2654 ","9:45","319","MXP "
"9/19/2019","A","D8 3195 ","9:50","73H","ARN "
"9/19/2019","D","D8 2901 ","9:50","73H","LGW "
"9/19/2019","D","SK 1245 ","9:50","AT7","AAR "
"9/19/2019","A","BA 812  ","9:55","32A","LHR "
"9/19/2019","D","CAI488  ","9:55","73H","GZP "
"9/19/2019","D","LH 825  ","9:55","32N","FRA "
"9/19/2019","D","EW 9191 ","10:00","319","DUS "
"9/19/2019","D","SK 9111 ","10:00","73H","ARN "
"9/19/2019","A","EZY1985 ","10:05","319","MAN "
"9/19/2019","D","SK 681  ","10:05","321","FCO "
"9/19/2019","D","OS 302  ","10:10","320","VIE "
"9/19/2019","A","6I 103  ","10:15","AT7","SGD "
"9/19/2019","A","D8 3222 ","10:15","73H","OSL "
"9/19/2019","A","VY 1870 ","10:15","32A","BCN "
"9/19/2019","A","D8 3581 ","10:20","73H","PRG "
"9/19/2019","A","EZY8265 ","10:20","320","LGW "
"9/19/2019","A","SK 403  ","10:20","32A","ARN "
"9/19/2019","A","SK 443  ","10:20","CR9","GOT "
"9/19/2019","D","D8 3196 ","10:20","73H","ARN "
"9/19/2019","A","FR 4047 ","10:25","73H","AGP "
"9/19/2019","A","SK 455  ","10:25","32A","OSL "
"9/19/2019","A","VJT486  ","10:25","CL3","NCE "
"9/19/2019","D","D8 3616 ","10:25","73H","LIS "
"9/19/2019","D","SK 909  ","10:25","333","EWR "
"9/19/2019","A","OU 480  ","10:30","CRK","ZAG "
"9/19/2019","A","SK 756  ","10:30","CR9","GDN "
"9/19/2019","D","D8 3640 ","10:30","73H","NCE "
"9/19/2019","D","DX 932  ","10:30","AT4","KRP "
"9/19/2019","D","LO 464  ","10:30","E75","WAW "
"9/19/2019","D","SK 537  ","10:30","32A","DUB "
"9/19/2019","A","SK 646  ","10:35","CR9","HAM "
"9/19/2019","D","EZY1986 ","10:35","319","MAN "
"9/19/2019","D","AC 883  ","10:40","77W","YYZ "
"9/19/2019","A","SK 1707 ","10:45","321","HEL "
"9/19/2019","A","SK 2758 ","10:50","AT7","SZZ "
"9/19/2019","A","SK 640  ","10:50","319","FRA "
"9/19/2019","D","BA 813  ","10:50","32A","LHR "
"9/19/2019","D","D8 3086 ","10:50","73H","AAL "
"9/19/2019","D","D8 3223 ","10:50","73H","OSL "
"9/19/2019","D","EZY8266 ","10:50","320","LGW "
"9/19/2019","D","FR 4048 ","10:50","73H","AGP "
"9/19/2019","D","VY 1871 ","10:55","32A","BCN "
"9/19/2019","A","D8 5570 ","11:00","73H","BCN "
"9/19/2019","A","SK 1875 ","11:00","CR9","SVG "
"9/19/2019","A","SK 670  ","11:00","AT7","HAJ "
"9/19/2019","D","DX 036  ","11:00","AT4","RNN "
"9/19/2019","D","GL 781  ","11:00","332","SFJ "
"9/19/2019","D","SK 1777 ","11:00","32A","FAE "
"9/19/2019","D","SK 404  ","11:00","321","ARN "
"9/19/2019","A","DX 077  ","11:05","AT7","KRP "
"9/19/2019","A","KL 1127 ","11:05","73J","AMS "
"9/19/2019","A","SN 2257 ","11:05","319","BRU "
"9/19/2019","A","WF 305  ","11:05","DH4","TRF "
"9/19/2019","D","SK 1735 ","11:05","32A","KRK "
"9/19/2019","D","SK 763  ","11:05","CR9","WRO "
"9/19/2019","A","IJM612  ","11:10","DF9","FAB "
"9/19/2019","A","SK 1208 ","11:10","32A","AAL "
"9/19/2019","A","SK 1419 ","11:10","73H","ARN "
"9/19/2019","A","SK 1455 ","11:10","73H","OSL "
"9/19/2019","D","6I 104  ","11:15","AT7","SGD "
"9/19/2019","D","TK 1784 ","11:15","332","IST "
"9/19/2019","A","AF 1150 ","11:20","318","CDG "
"9/19/2019","A","SK 2865 ","11:20","CR9","BGO "
"9/19/2019","A","SK 662  ","11:20","CR9","MUC "
"9/19/2019","A","SK 752  ","11:20","319","WAW "
"9/19/2019","D","OU 481  ","11:20","CRK","ZAG "
"9/19/2019","A","LH 826  ","11:25","32A","FRA "
"9/19/2019","A","RC 450  ","11:25","32N","FAE "
"9/19/2019","A","D8 3565 ","11:30","73H","KRK "
"9/19/2019","A","SK 1630 ","11:30","32A","DUS "
"9/19/2019","D","SK 2864 ","11:30","319","BGO "
"9/19/2019","A","D8 2902 ","11:35","73H","LGW "
"9/19/2019","A","SK 1246 ","11:35","AT7","AAR "
"9/19/2019","A","SK 658  ","11:35","CR9","STR "
"9/19/2019","A","TP 754  ","11:35","32A","LIS "
"9/19/2019","D","SK 1627 ","11:35","CR9","DUS "
"9/19/2019","D","SK 2691 ","11:35","321","VCE "
"9/19/2019","D","SK 436  ","11:35","AT7","GOT "
"9/19/2019","A","SK 745  ","11:40","CR9","VNO "
"9/19/2019","A","FR 7384 ","11:45","73H","STN "
"9/19/2019","A","OS 309  ","11:45","320","VIE "
"9/19/2019","D","DX 076  ","11:45","AT7","KRP "
"9/19/2019","D","SK 1420 ","11:45","73H","ARN "
"9/19/2019","D","SK 1458 ","11:45","73H","OSL "
"9/19/2019","A","PC 1071 ","11:50","32N","SAW "
"9/19/2019","A","SK 552  ","11:50","320","AMS "
"9/19/2019","D","D8 5573 ","11:50","73H","BCN "
"9/19/2019","D","KL 1128 ","11:50","73J","AMS "
"9/19/2019","D","SN 2258 ","11:50","319","BRU "
"9/19/2019","A","EJU5683 ","11:55","319","TXL "
"9/19/2019","D","SK 1868 ","11:55","CR9","SVG "
"9/19/2019","D","SK 567  ","11:55","319","CDG "
"9/19/2019","A","SK 594  ","12:00","320","BRU "
"9/19/2019","A","SK 602  ","12:00","319","ZRH "
"9/19/2019","D","SK 1213 ","12:00","AT7","AAL "
"9/19/2019","D","SK 1647 ","12:00","CR9","HAM "
"9/19/2019","A","LH 2442 ","12:05","32A","MUC "
"9/19/2019","A","SK 1421 ","12:05","73W","ARN "
"9/19/2019","A","SK 1467 ","12:05","320","OSL "
"9/19/2019","A","SK 2889 ","12:05","CR9","TRD "
"9/19/2019","A","SU 2658 ","12:05","73H","SVO "
"9/19/2019","D","LH 827  ","12:05","32A","FRA "
"9/19/2019","D","SK 1683 ","12:05","32A","MXP "
"9/19/2019","A","FR 4019 ","12:10","73H","ALC "
"9/19/2019","D","AF 1151 ","12:10","318","CDG "
"9/19/2019","D","D8 3550 ","12:10","73H","BUD "
"9/19/2019","D","FR 7620 ","12:10","73H","KUN "
"9/19/2019","D","SK 1247 ","12:10","AT7","AAR "
"9/19/2019","D","SK 2961 ","12:10","319","FLR "
"9/19/2019","D","SK 767  ","12:10","32A","PRG "
"9/19/2019","D","D8 2903 ","12:15","73H","LGW "
"9/19/2019","D","SK 925  ","12:20","343","IAD "
"9/19/2019","D","SQ 351  ","12:20","77W","SIN "
"9/19/2019","D","TP 757  ","12:20","32A","LIS "
"9/19/2019","A","BT 195  ","12:25","DH4","TLL "
"9/19/2019","D","DY 7091 ","12:25","789","LAX "
"9/19/2019","D","EJU5684 ","12:25","319","TXL "
"9/19/2019","D","RC 453  ","12:25","32N","FAE "
"9/19/2019","D","SK 935  ","12:25","343","SFO "
"9/19/2019","D","OS 310  ","12:30","320","VIE "
"9/19/2019","D","SK 1591 ","12:30","CR9","BRU "
"9/19/2019","D","SK 2882 ","12:30","CR9","TRD "
"9/19/2019","A","FR 1327 ","12:35","73H","NAP "
"9/19/2019","D","FR 4020 ","12:35","73H","ALC "
"9/19/2019","D","PC 1072 ","12:35","32N","SAW "
"9/19/2019","A","AY 953  ","12:40","320","HEL "
"9/19/2019","A","D8 3087 ","12:40","73H","AAL "
"9/19/2019","A","FR 2992 ","12:40","73H","BGY "
"9/19/2019","A","SK 2684 ","12:40","CR9","BLQ "
"9/19/2019","A","SK 502  ","12:40","32A","LHR "
"9/19/2019","D","LH 2443 ","12:45","32A","MUC "
"9/19/2019","D","SK 1755 ","12:45","CR9","POZ "
"9/19/2019","A","DX 037  ","12:50","AT4","RNN "
"9/19/2019","A","SK 2534 ","12:50","CR9","BHX "
"9/19/2019","A","SK 566  ","12:50","321","CDG "
"9/19/2019","D","SK 1742 ","12:50","CR9","VNO "
"9/19/2019","D","SK 547  ","12:50","320","AMS "
"9/19/2019","D","SK 927  ","12:50","333","BOS "
"9/19/2019","A","BA 814  ","12:55","321","LHR "
"9/19/2019","A","D8 3665 ","12:55","73H","PMI "
"9/19/2019","A","EJU3825 ","12:55","32A","CDG "
"9/19/2019","A","FI 204  ","12:55","75T","KEF "
"9/19/2019","A","SK 586  ","12:55","321","PMI "
"9/19/2019","D","SU 2659 ","12:55","73H","SVO "
"9/19/2019","A","EJU7723 ","13:00","320","NTE "
"9/19/2019","A","FRF300  ","13:00","SFF","LEJ "
"9/19/2019","D","FR 1328 ","13:00","73H","NAP "
"9/19/2019","D","SK 759  ","13:00","320","GDN "
"9/19/2019","D","WF 267  ","13:00","DH4","KRS "
"9/19/2019","A","DY 7012 ","13:05","763","JFK "
"9/19/2019","A","SK 1610 ","13:05","CR9","GVA "
"9/19/2019","A","SK 540  ","13:05","320","MAN "
"9/19/2019","D","FR 2991 ","13:05","73H","BGY "
"9/19/2019","A","D8 3197 ","13:10","73H","ARN "
"9/19/2019","A","OE 1320 ","13:10","320","VIE "
"9/19/2019","A","SK 902  ","13:10","333","EWR "
"9/19/2019","D","BT 196  ","13:10","DH4","TLL "
"9/19/2019","D","SK 1422 ","13:10","73W","ARN "
"9/19/2019","A","D8 3731 ","13:15","73H","FCO "
"9/19/2019","A","EK 151  ","13:15","77W","DXB "
"9/19/2019","A","FI 206  ","13:15","763","KEF "
"9/19/2019","A","SK 936  ","13:15","343","SFO "
"9/19/2019","D","SK 675  ","13:15","319","FRA "
"9/19/2019","A","SK 944  ","13:20","333","ORD "
"9/19/2019","D","AY 954  ","13:20","320","HEL "
"9/19/2019","A","SK 1686 ","13:25","321","MXP "
"9/19/2019","D","EJU3826 ","13:25","32A","CDG "
"9/19/2019","D","SK 1456 ","13:25","320","OSL "
"9/19/2019","A","FR 407  ","13:30","73H","CIA "
"9/19/2019","A","RC 100  ","13:30","320","AAR "
"9/19/2019","A","SK 1709 ","13:30","CR9","HEL "
"9/19/2019","D","EJU7724 ","13:30","320","NTE "
"9/19/2019","D","D8 3502 ","13:35","73H","EDI "
"9/19/2019","D","SK 1786 ","13:35","CR9","TLL "
"9/19/2019","A","BT 135  ","13:40","735","RIX "
"9/19/2019","A","D8 3224 ","13:40","73H","OSL "
"9/19/2019","A","D8 3661 ","13:40","321","ALC "
"9/19/2019","D","DX 042  ","13:40","AT4","RNN "
"9/19/2019","D","OE 1321 ","13:40","320","VIE "
"9/19/2019","A","SK 437  ","13:45","AT7","GOT "
"9/19/2019","D","BA 815  ","13:45","321","LHR "
"9/19/2019","D","D8 3208 ","13:50","73H","ARN "
"9/19/2019","A","DX 079  ","13:55","AT7","KRP "
"9/19/2019","A","DX 933  ","13:55","AT4","RNN "
"9/19/2019","A","KL 1129 ","13:55","73W","AMS "
"9/19/2019","A","SK 405  ","13:55","321","ARN "
"9/19/2019","D","FR 406  ","13:55","73H","CIA "
"9/19/2019","A","LX 1270 ","14:00","320","ZRH "
"9/19/2019","A","TK 1781 ","14:00","32B","IST "
"9/19/2019","D","FI 205  ","14:00","75T","KEF "
"9/19/2019","D","FRF301  ","14:00","SFF","HUY "
"9/19/2019","A","SK 1214 ","14:05","AT7","AAL "
"9/19/2019","A","SK 1248 ","14:05","AT7","AAR "
"9/19/2019","A","SK 764  ","14:05","CR9","WRO "
"9/19/2019","D","SK 1712 ","14:05","320","HEL "
"9/19/2019","D","SK 1872 ","14:05","321","SVG "
"9/19/2019","D","SK 2746 ","14:05","CR9","PLQ "
"9/19/2019","D","SK 2868 ","14:05","321","BGO "
"9/19/2019","D","SK 430  ","14:05","CR9","GOT "
"9/19/2019","A","FR 7408 ","14:10","73H","LTN "
"9/19/2019","A","LH 828  ","14:10","319","FRA "
"9/19/2019","D","SK 1621 ","14:10","CR9","DUS "
"9/19/2019","A","6I 105  ","14:15","AT7","SGD "
"9/19/2019","A","AF 1850 ","14:15","319","CDG "
"9/19/2019","A","SK 1648 ","14:15","CR9","HAM "
"9/19/2019","D","D8 3088 ","14:15","73H","AAL "
"9/19/2019","D","D8 3225 ","14:15","73H","OSL "
"9/19/2019","A","D8 3673 ","14:20","73H","AGP "
"9/19/2019","A","D8 3351 ","14:25","73H","CHQ "
"9/19/2019","D","FI 207  ","14:25","763","KEF "
"9/19/2019","D","SK 458  ","14:25","321","OSL "
"9/19/2019","D","TG 951  ","14:25","77W","BKK "
"9/19/2019","A","LG 5437 ","14:30","DH4","LUX "
"9/19/2019","A","RJ 115  ","14:30","319","AMM "
"9/19/2019","D","SK 406  ","14:30","319","ARN "
